0,99
0,74
0,14
0,88
1,82
1,3
1,22
2,66
2,4
2,13
2,79
3,58
3,45
3,17
4,33
4,6
4,81
4,19
4,59
5,42
5,70
6,65
6,19
7,8
7,9
7,67
8,64
8,36
8,10
8,18
8,91
9,39
9,40
9,11
9,49
9,89
10,25
10,11
11,23
11,24
11,57
11,95
11,93
11,63
12,69
12,63
13,85
13,14
13,79
14,98
14,35
14,34
14,55
15,16
15,59
15,31
16,74
16,80
16,18
16,23
16,56
17,19
17,53
18,35
18,19
18,91
19,20
19,21
20,72
20,60
20,47
21,65
21,75
21,86
21,23
22,82
23,41
24,75
24,74
24,25
25,32
25,78
25,79
25,92
26,69
26,53
26,86
26,62
27,39
27,72
28,30
28,79
29,33
29,99
29,30
30,48
30,84
31,75
32,97
32,42
33,72
34,95
35,40
36,64
37,98
37,39
37,72
38,48
38,84
38,39
39,71
39,85
40,71
40,42
41,95
41,43
41,60
42,98
42,73
42,74
43,44
43,45
44,66
44,46
45,66
45,47
46,48
46,47
47,48
47,49
47,57
47,52
48,82
48,89
49,85
49,87
49,95
50,52
50,55
51,66
51,75
52,73
52,53
53,85
54,56
54,76
54,55
55,56
56,73
56,58
57,58
57,59
58,60
59,78
59,62
60,83
61,64
61,67
61,81
61,88
63,64
63,65
64,66
65,99
66,72
68,69
68,70
69,70
69,71
70,71
70,78
71,85
72,75
72,85
72,90
75,92
76,95
77,78
77,79
77,90
77,94
78,80
79,95
80,81
81,83
82,83
82,84
83,98
84,85
87,88
89,96
89,90
90,91
92,93
93,95
94,95
96,97
97,98
97,99
98,99
